name,product,location,unit,cost_class,year,scenario,price,currency,price_year,original_price,original_currency,original_price_year,source,conversion_source,trajectory_basis,interpolation,status,notes
chemical factory construction,chemical factory,RER,kilogram,cap,2020,REMIND-EU_SSP2-NDC,5.0,EUR_2025,2025,,,,Generic installed-equipment mass proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
chemical factory construction,chemical factory,RER,kilogram,cap,2030,REMIND-EU_SSP2-NDC,5.0,EUR_2025,2025,,,,Generic installed-equipment mass proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
chemical factory construction,chemical factory,RER,kilogram,cap,2040,REMIND-EU_SSP2-NDC,5.0,EUR_2025,2025,,,,Generic installed-equipment mass proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
chemical factory construction,chemical factory,RER,kilogram,cap,2050,REMIND-EU_SSP2-NDC,5.0,EUR_2025,2025,,,,Generic installed-equipment mass proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
"direct air capture system, solvent-based, 1MtCO2",direct air capture system,RER,unit,cap,2020,REMIND-EU_SSP2-NDC,250000000.0,EUR_2025,2025,,,,https://www.iea.org/reports/direct-air-capture-2022/executive-summary,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant midpoint-derived capital proxy,linear,PROXY,IEA capture-cost range used only as an order-of-magnitude anchor
"direct air capture system, solvent-based, 1MtCO2",direct air capture system,RER,unit,cap,2030,REMIND-EU_SSP2-NDC,250000000.0,EUR_2025,2025,,,,https://www.iea.org/reports/direct-air-capture-2022/executive-summary,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant midpoint-derived capital proxy,linear,PROXY,IEA capture-cost range used only as an order-of-magnitude anchor
"direct air capture system, solvent-based, 1MtCO2",direct air capture system,RER,unit,cap,2040,REMIND-EU_SSP2-NDC,250000000.0,EUR_2025,2025,,,,https://www.iea.org/reports/direct-air-capture-2022/executive-summary,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant midpoint-derived capital proxy,linear,PROXY,IEA capture-cost range used only as an order-of-magnitude anchor
"direct air capture system, solvent-based, 1MtCO2",direct air capture system,RER,unit,cap,2050,REMIND-EU_SSP2-NDC,250000000.0,EUR_2025,2025,,,,https://www.iea.org/reports/direct-air-capture-2022/executive-summary,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant midpoint-derived capital proxy,linear,PROXY,IEA capture-cost range used only as an order-of-magnitude anchor
"electrolyzer production, 1MWe, PEM, Balance of Plant","electrolyzer, 1MWe, PEM, Balance of Plant",RER,unit,cap,2020,REMIND-EU_SSP2-NDC,570000.0,EUR_2025,2025,,,,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Difference between IRENA system and stack costs,linear,PROXY,Approximate USD-to-EUR conversion documented with ECB source
"electrolyzer production, 1MWe, PEM, Balance of Plant","electrolyzer, 1MWe, PEM, Balance of Plant",RER,unit,cap,2030,REMIND-EU_SSP2-NDC,350000.0,EUR_2025,2025,,,,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Difference between IRENA system and stack costs,linear,PROXY,Approximate USD-to-EUR conversion documented with ECB source
"electrolyzer production, 1MWe, PEM, Balance of Plant","electrolyzer, 1MWe, PEM, Balance of Plant",RER,unit,cap,2040,REMIND-EU_SSP2-NDC,200000.0,EUR_2025,2025,,,,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Difference between IRENA system and stack costs,linear,PROXY,Approximate USD-to-EUR conversion documented with ECB source
"electrolyzer production, 1MWe, PEM, Balance of Plant","electrolyzer, 1MWe, PEM, Balance of Plant",RER,unit,cap,2050,REMIND-EU_SSP2-NDC,90000.0,EUR_2025,2025,,,,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Difference between IRENA system and stack costs,linear,PROXY,Approximate USD-to-EUR conversion documented with ECB source
"electrolyzer production, 1MWe, PEM, Stack","electrolyzer, 1MWe, PEM, Stack",RER,unit,cap,2020,REMIND-EU_SSP2-NDC,350000.0,EUR_2025,2025,,,,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,IRENA PEM stack cost and 2050 target,linear,PROXY,Approximate USD-to-EUR conversion documented with ECB source
"electrolyzer production, 1MWe, PEM, Stack","electrolyzer, 1MWe, PEM, Stack",RER,unit,cap,2030,REMIND-EU_SSP2-NDC,250000.0,EUR_2025,2025,,,,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,IRENA PEM stack cost and 2050 target,linear,PROXY,Approximate USD-to-EUR conversion documented with ECB source
"electrolyzer production, 1MWe, PEM, Stack","electrolyzer, 1MWe, PEM, Stack",RER,unit,cap,2040,REMIND-EU_SSP2-NDC,175000.0,EUR_2025,2025,,,,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,IRENA PEM stack cost and 2050 target,linear,PROXY,Approximate USD-to-EUR conversion documented with ECB source
"electrolyzer production, 1MWe, PEM, Stack","electrolyzer, 1MWe, PEM, Stack",RER,unit,cap,2050,REMIND-EU_SSP2-NDC,90000.0,EUR_2025,2025,,,,https://www.irena.org/publications/2020/Dec/Green-hydrogen-cost-reduction,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,IRENA PEM stack cost and 2050 target,linear,PROXY,Approximate USD-to-EUR conversion documented with ECB source
"market for copper, cathode","copper, cathode",GLO,kilogram,cap,2020,REMIND-EU_SSP2-NDC,8.5,EUR_2025,2025,,,,https://thedocs.worldbank.org/en/doc/18675f1d1639c7a34d463f59263ba0a2-0050012025/,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant 2025 commodity proxy,linear,PROXY,
"market for copper, cathode","copper, cathode",GLO,kilogram,cap,2030,REMIND-EU_SSP2-NDC,8.5,EUR_2025,2025,,,,https://thedocs.worldbank.org/en/doc/18675f1d1639c7a34d463f59263ba0a2-0050012025/,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant 2025 commodity proxy,linear,PROXY,
"market for copper, cathode","copper, cathode",GLO,kilogram,cap,2040,REMIND-EU_SSP2-NDC,8.5,EUR_2025,2025,,,,https://thedocs.worldbank.org/en/doc/18675f1d1639c7a34d463f59263ba0a2-0050012025/,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant 2025 commodity proxy,linear,PROXY,
"market for copper, cathode","copper, cathode",GLO,kilogram,cap,2050,REMIND-EU_SSP2-NDC,8.5,EUR_2025,2025,,,,https://thedocs.worldbank.org/en/doc/18675f1d1639c7a34d463f59263ba0a2-0050012025/,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant 2025 commodity proxy,linear,PROXY,
"market for steel, low-alloyed","steel, low-alloyed",GLO,kilogram,cap,2020,REMIND-EU_SSP2-NDC,1.5,EUR_2025,2025,,,,https://thedocs.worldbank.org/en/doc/18675f1d1639c7a34d463f59263ba0a2-0050012025/,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant fabricated-steel proxy,linear,PROXY,
"market for steel, low-alloyed","steel, low-alloyed",GLO,kilogram,cap,2030,REMIND-EU_SSP2-NDC,1.5,EUR_2025,2025,,,,https://thedocs.worldbank.org/en/doc/18675f1d1639c7a34d463f59263ba0a2-0050012025/,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant fabricated-steel proxy,linear,PROXY,
"market for steel, low-alloyed","steel, low-alloyed",GLO,kilogram,cap,2040,REMIND-EU_SSP2-NDC,1.5,EUR_2025,2025,,,,https://thedocs.worldbank.org/en/doc/18675f1d1639c7a34d463f59263ba0a2-0050012025/,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant fabricated-steel proxy,linear,PROXY,
"market for steel, low-alloyed","steel, low-alloyed",GLO,kilogram,cap,2050,REMIND-EU_SSP2-NDC,1.5,EUR_2025,2025,,,,https://thedocs.worldbank.org/en/doc/18675f1d1639c7a34d463f59263ba0a2-0050012025/,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant fabricated-steel proxy,linear,PROXY,
"methanol production facility, construction","methanol production facility, construction",RER,unit,cap,2020,REMIND-EU_SSP2-NDC,100000000.0,EUR_2025,2025,,,,Engineering order-of-magnitude proxy,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,Real constant proxy,linear,PROXY,
