scenario,climate_ambition,climate_budget_kg_CO2eq,cumulative_climate_kg_CO2eq,discounted_cost_EUR_2025,share_steam_cracking,share_mto,share_eco2r
climate_budget_17,0.999999995800348,-26659036166.06799,-26659036166.06799,133731294484.91214,0.2307693450317638,0.26923065496823617,0.5
climate_budget_16,0.9374999960628263,-22691588943.660286,-22691588943.660305,111508599736.89474,0.34615384615384615,0.28838246836944426,0.3654636854767096
climate_budget_15,0.8749999963253046,-18724141721.252586,-18724141721.252586,101415723149.32797,0.3846153846153845,0.31030550944320634,0.3050791059414092
climate_budget_14,0.8124999965877828,-14756694498.844887,-14756694498.844893,91624562314.32355,0.38461538461538464,0.379952709478297,0.2354319059063184
climate_budget_13,0.7499999968502611,-10789247276.437187,-10789247276.437193,81833401479.31909,0.3846153846153847,0.44959990951338824,0.16578470587122718
climate_budget_12,0.6874999971127392,-6821800054.02948,-6821800054.029492,72042240644.3147,0.38461538461538464,0.5192471095484792,0.09613750583613616
climate_budget_11,0.6249999973752175,-2854352831.6217804,-2854352831.6218033,62251079809.31028,0.38461538461538464,0.5888943095835701,0.026490305801045173
climate_budget_10,0.5800347990432551,0.0,-1.1067076143523614e-05,56075776477.3832,0.42740306857740484,0.572596931422595,0.0
climate_budget_09,0.5624999976376958,1113094390.7859192,1113094390.7858946,54434075004.65389,0.45683265724502586,0.5431673427549737,3.7583466187827376e-16
climate_budget_08,0.499999997900174,5080541613.193619,5080541613.193614,50005590651.483315,0.5393498766520276,0.4606501233479725,0.0
climate_budget_07,0.4374999981626523,9047988835.601318,9047988835.60133,46072329588.332825,0.5970558343723462,0.4029441656276538,0.0
climate_budget_06,0.37499999842513054,13015436058.009018,13015436058.009016,42139068525.182304,0.6547617920926635,0.34523820790733645,0.0
climate_budget_05,0.31249999868760875,16982883280.416721,16982883280.416721,38205807462.031784,0.7124677498129816,0.2875322501870184,0.0
climate_budget_04,0.249999998950087,20950330502.82442,20950330502.824425,34273820910.84233,0.7701696490689104,0.22983035093108967,0.0
climate_budget_03,0.18749999921256527,24917777725.23212,24917777725.232124,30418557457.01735,0.8276272368016828,0.17237276319831715,0.0
climate_budget_02,0.12499999947504348,28885224947.639824,28885224947.63982,26563294003.19236,0.8850848245344551,0.11491517546554494,0.0
climate_budget_01,0.06249999973752174,32852672170.047523,32852672170.047523,22708030549.367367,0.9425424122672275,0.0574575877327726,0.0
cost_minimum,0.0,36820119392.45522,36820119392.45522,18852767095.542374,1.0,0.0,0.0
