from_cumulative_climate_kg_CO2eq,to_cumulative_climate_kg_CO2eq,abatement_start_kg_CO2eq,abatement_end_kg_CO2eq,cost_start_EUR_2025,cost_end_EUR_2025,additional_abatement_kg_CO2eq,additional_cost_EUR_2025,incremental_cost_EUR_2025_per_t_CO2eq,to_share_steam_cracking,to_share_mto,to_share_eco2r
36820119392.45522,32852672170.047523,0.0,3967447222.4076996,18852767095.542374,22708030549.367367,3967447222.4076996,3855263453.824993,971.7239417958466,0.9425424122672275,0.0574575877327726,0.0
32852672170.047523,28885224947.63982,3967447222.4076996,7934894444.815403,22708030549.367367,26563294003.19236,3967447222.4077034,3855263453.824993,971.7239417958458,0.8850848245344551,0.11491517546554494,0.0
28885224947.63982,24917777725.232124,7934894444.815403,11902341667.223099,26563294003.19236,30418557457.01735,3967447222.407696,3855263453.8249893,971.7239417958466,0.8276272368016828,0.17237276319831715,0.0
24917777725.232124,20950330502.824425,11902341667.223099,15869788889.630798,30418557457.01735,34273820910.84233,3967447222.4076996,3855263453.8249817,971.7239417958439,0.7701696490689104,0.22983035093108967,0.0
20950330502.824425,16982883280.416721,15869788889.630798,19837236112.0385,34273820910.84233,38205807462.031784,3967447222.4077034,3931986551.189453,991.0620937770835,0.7124677498129816,0.2875322501870184,0.0
16982883280.416721,13015436058.009016,19837236112.0385,23804683334.446205,38205807462.031784,42139068525.182304,3967447222.4077034,3933261063.1505203,991.3833360998218,0.6547617920926635,0.34523820790733645,0.0
13015436058.009016,9047988835.60133,23804683334.446205,27772130556.853893,42139068525.182304,46072329588.332825,3967447222.407688,3933261063.1505203,991.3833360998256,0.5970558343723462,0.4029441656276538,0.0
9047988835.60133,5080541613.193614,27772130556.853893,31739577779.26161,46072329588.332825,50005590651.483315,3967447222.407715,3933261063.15049,991.3833360998111,0.5393498766520276,0.4606501233479725,0.0
5080541613.193614,1113094390.7858946,31739577779.26161,35707025001.66933,50005590651.483315,54434075004.65389,3967447222.4077187,4428484353.170578,1116.2049814195311,0.45683265724502586,0.5431673427549737,3.7583466187827376e-16
1113094390.7858946,-1.1067076143523614e-05,35707025001.66933,36820119392.45523,54434075004.65389,56075776477.3832,1113094390.785904,1641701472.729309,1474.8987024992377,0.42740306857740484,0.572596931422595,0.0
-1.1067076143523614e-05,-2854352831.6218033,36820119392.45523,39674472224.07703,56075776477.3832,62251079809.31028,2854352831.6217957,6175303331.927078,2163.468812795079,0.38461538461538464,0.5888943095835701,0.026490305801045173
-2854352831.6218033,-6821800054.029492,39674472224.07703,43641919446.48472,62251079809.31028,72042240644.3147,3967447222.407692,9791160835.004417,2467.8742491406188,0.38461538461538464,0.5192471095484792,0.09613750583613616
-6821800054.029492,-10789247276.437193,43641919446.48472,47609366668.89242,72042240644.3147,81833401479.31909,3967447222.4076996,9791160835.004395,2467.8742491406088,0.3846153846153847,0.44959990951338824,0.16578470587122718
-10789247276.437193,-14756694498.844893,47609366668.89242,51576813891.30012,81833401479.31909,91624562314.32355,3967447222.4076996,9791160835.004456,2467.8742491406238,0.38461538461538464,0.379952709478297,0.2354319059063184
-14756694498.844893,-18724141721.252586,51576813891.30012,55544261113.70781,91624562314.32355,101415723149.32797,3967447222.407692,9791160835.004425,2467.874249140621,0.3846153846153845,0.31030550944320634,0.3050791059414092
-18724141721.252586,-22691588943.660305,55544261113.70781,59511708336.115524,101415723149.32797,111508599736.89474,3967447222.407715,10092876587.566772,2543.922079306636,0.34615384615384615,0.28838246836944426,0.3654636854767096
-22691588943.660305,-26659036166.06799,59511708336.115524,63479155558.52321,111508599736.89474,133731294484.91214,3967447222.4076843,22222694748.017395,5601.25781195177,0.2307693450317638,0.26923065496823617,0.5
