year,steam_cracking,dac,pem,co2_hydrogenation,mto,eco2r
2025,1658678607.2298458,0.0,0.0,0.0,0.0,0.0
2026,1646902993.5732522,0.0,0.0,0.0,0.0,0.0
2027,1635127379.916658,0.0,0.0,0.0,0.0,0.0
2028,1623351766.2600648,0.0,0.0,0.0,0.0,0.0
2029,1611576152.6034715,0.0,0.0,0.0,0.0,0.0
2030,1710775817.6583889,0.0,-0.0,-0.0,-0.0,0.0
2031,4671.226173751566,-371385847.2099733,4286125403.6930175,284159011.66307354,182900685.01255184,0.0
2032,0.0,-1423335822.1874888,2032845349.2526731,244432318.51956442,162823224.02297312,0.0
2033,0.0,-1488259558.3848825,1834602458.8677957,220597119.0295701,149388640.57531145,0.0
2034,0.0,-1553180443.4268925,1636365266.0017183,196761964.8780594,135954076.08034453,0.0
2035,0.0,-1618101328.4689007,1438128073.135643,172926810.72654885,122519511.58537768,0.0
2036,0.0,-1683022213.5109098,1239890880.269567,149091656.57503828,109084947.09041089,0.0
2037,0.0,-1747943098.5529196,1041653687.4034905,125256502.42352763,95650382.595444,0.0
2038,0.0,-3528675313.525306,3.5288955324613606e-08,4.2435184174294285e-09,3.4399497172693613e-09,4341241964.349447
2039,0.0,-5045783044.892334,0.0,0.0,0.0,3173614832.7064323
2040,0.0,-5220231516.852895,0.0,0.0,0.0,2541420959.1534224
2041,0.0,-5271401750.625279,0.0,0.0,0.0,2374502728.995996
2042,0.0,-5322571984.397665,0.0,0.0,0.0,2207584498.838572
2043,0.0,-5373742218.1700535,0.0,0.0,0.0,2040666268.6811445
2044,0.0,-5424912451.942437,0.0,0.0,0.0,1873748038.5237186
2045,0.0,-5476082685.714823,0.0,0.0,0.0,1706829808.366294
2046,0.0,-5527252919.48721,0.0,0.0,0.0,1539911578.208867
2047,0.0,-5578423153.259596,0.0,0.0,0.0,1372993348.051441
2048,0.0,-5629593387.031981,0.0,0.0,0.0,1206075117.8940167
2049,0.0,-5680763620.804367,0.0,0.0,0.0,1039156887.7365911
2050,0.0,-5731933854.57674,0.0,0.0,0.0,872238657.5791645
