year,installation_related,operation_related
2025,0.0,992653160.7676616
2026,0.0,992653160.7676616
2027,0.0,992653160.7676617
2028,0.0,992653160.7676616
2029,0.0,992653160.7676613
2030,382126303.9347798,992653160.7676616
2031,24429562318.701763,3251033046.0183125
2032,72576.1910835108,3251039755.291609
2033,0.0,3251039755.2916083
2034,1.4827525388273282e-08,3251039755.2916074
2035,0.0,3251039755.2916074
2036,0.0,3251039755.2916083
2037,0.0,3251039755.2916083
2038,36641096066.349014,8711545770.541855
2039,1.4503475746039011e-06,8711545770.541855
2040,0.0,8711545770.541855
2041,0.0,8711545770.541855
2042,9.128185452819176e-06,8711545770.541855
2043,0.0,8711545770.541855
2044,0.0,8711545770.541855
2045,0.0,8711545770.541855
2046,0.0,8711545770.541855
2047,0.0,8711545770.541855
2048,0.0,8711545770.541855
2049,0.0,8711545770.541855
2050,0.0,8711545770.54185
