year,steam_cracking,mto,eco2r
2025,1000000000.0,0.0,0.0
2026,1000000000.0,0.0,0.0
2027,1000000000.0,0.0,0.0
2028,1000000000.0,0.0,0.0
2029,1000000000.0,0.0,0.0
2030,1000000000.0,0.0,0.0
2031,2970.8258594411777,999997029.1741406,0.0
2032,0.0,1000000000.0,0.0
2033,0.0,1000000000.0,0.0
2034,0.0,1000000000.0,0.0
2035,0.0,1000000000.0,0.0
2036,0.0,1000000000.0,0.0
2037,0.0,1000000000.0,0.0
2038,0.0,0.0,1000000000.0
2039,0.0,0.0,1000000000.0
2040,0.0,0.0,1000000000.0
2041,0.0,0.0,1000000000.0
2042,0.0,0.0,1000000000.0
2043,0.0,0.0,1000000000.0
2044,0.0,0.0,1000000000.0
2045,0.0,0.0,1000000000.0
2046,0.0,0.0,1000000000.0
2047,0.0,0.0,1000000000.0
2048,0.0,0.0,1000000000.0
2049,0.0,0.0,1000000000.0
2050,0.0,0.0,1000000000.0
