year,steam_cracking,dac,pem,co2_hydrogenation,mto,eco2r
2025,1658678607.2298458,0.0,0.0,0.0,0.0,0.0
2026,1646902993.5732522,0.0,0.0,0.0,0.0,0.0
2027,1635127379.916658,0.0,0.0,0.0,0.0,0.0
2028,1623351766.2600648,0.0,0.0,0.0,0.0,0.0
2029,1611576152.6034715,0.0,0.0,0.0,0.0,0.0
2030,1710775817.6583889,0.0,0.0,0.0,0.0,0.0
2031,1572366202.1139941,0.0,0.0,0.0,0.0,0.0
2032,1544931865.2811103,0.0,0.0,0.0,0.0,0.0
2033,1517497528.448226,0.0,0.0,0.0,0.0,0.0
2034,1490063191.615342,0.0,0.0,0.0,0.0,0.0
2035,1462628854.782458,0.0,0.0,0.0,0.0,0.0
2036,1435194517.9495742,0.0,0.0,0.0,0.0,0.0
2037,1407760181.1166902,0.0,0.0,0.0,0.0,0.0
2038,1380325844.283806,0.0,0.0,0.0,0.0,0.0
2039,1352891507.4509223,0.0,0.0,0.0,0.0,0.0
2040,1394040747.9207475,0.0,0.0,0.0,0.0,0.0
2041,1309483252.946589,0.0,0.0,0.0,0.0,0.0
2042,1293509335.27514,0.0,0.0,0.0,0.0,0.0
2043,1277535417.6036909,0.0,0.0,0.0,0.0,0.0
2044,1261561499.9322412,0.0,0.0,0.0,0.0,0.0
2045,1245587582.2607923,0.0,0.0,0.0,0.0,0.0
2046,1229613664.5893428,0.0,0.0,0.0,0.0,0.0
2047,1213639746.917894,0.0,0.0,0.0,0.0,0.0
2048,1197665829.2464445,0.0,0.0,0.0,0.0,0.0
2049,1181691911.5749953,0.0,0.0,0.0,0.0,0.0
2050,1165717993.903546,0.0,0.0,0.0,0.0,0.0
