year,installation_related,operation_related
2025,0.0,992653160.7676616
2026,0.0,992653160.7676616
2027,0.0,992653160.7676617
2028,0.0,992653160.7676616
2029,0.0,992653160.7676613
2030,382126303.9347798,992653160.7676616
2031,0.0,992653160.7676616
2032,0.0,992653160.7676617
2033,0.0,992653160.7676616
2034,0.0,992653160.7676616
2035,0.0,992653160.7676616
2036,0.0,992653160.7676616
2037,0.0,992653160.7676617
2038,0.0,992653160.7676616
2039,0.0,992653160.7676613
2040,382126303.9347798,992653160.7676616
2041,0.0,992653160.7676616
2042,0.0,992653160.7676617
2043,0.0,992653160.7676616
2044,0.0,992653160.7676616
2045,0.0,992653160.7676616
2046,0.0,992653160.7676616
2047,0.0,992653160.7676617
2048,0.0,992653160.7676616
2049,0.0,992653160.7676613
2050,0.0,992653160.7676616
