year,steam_cracking,mto,eco2r
2025,1000000000.0,0.0,0.0
2026,1000000000.0,0.0,0.0
2027,1000000000.0,0.0,0.0
2028,1000000000.0,0.0,0.0
2029,1000000000.0,0.0,0.0
2030,1000000000.0,0.0,0.0
2031,1000000000.0,0.0,0.0
2032,1000000000.0,0.0,0.0
2033,1000000000.0,0.0,0.0
2034,1000000000.0,0.0,0.0
2035,1000000000.0,0.0,0.0
2036,1000000000.0,0.0,0.0
2037,1000000000.0,0.0,0.0
2038,1000000000.0,0.0,0.0
2039,1000000000.0,0.0,0.0
2040,1000000000.0,0.0,0.0
2041,1000000000.0,0.0,0.0
2042,1000000000.0,0.0,0.0
2043,1000000000.0,0.0,0.0
2044,1000000000.0,0.0,0.0
2045,1000000000.0,0.0,0.0
2046,1000000000.0,0.0,0.0
2047,1000000000.0,0.0,0.0
2048,1000000000.0,0.0,0.0
2049,1000000000.0,0.0,0.0
2050,1000000000.0,0.0,0.0
