year,steam_cracking,dac,pem,co2_hydrogenation,mto,eco2r
2025,1658678607.2298458,0.0,-0.0,0.0,0.0,0.0
2026,1646902993.5732522,0.0,0.0,0.0,0.0,0.0
2027,1635127379.916658,0.0,0.0,0.0,0.0,0.0
2028,1623351766.2600648,0.0,0.0,0.0,0.0,0.0
2029,1611576152.6034715,0.0,0.0,0.0,0.0,0.0
2030,1710775817.6583889,0.0,0.0,0.0,0.0,0.0
2031,1572366202.1139941,0.0,0.0,0.0,0.0,0.0
2032,1544931865.2811103,0.0,0.0,0.0,0.0,0.0
2033,1517497528.448226,0.0,0.0,0.0,0.0,0.0
2034,1490063191.615342,0.0,0.0,0.0,0.0,0.0
2035,1462628854.782458,0.0,0.0,0.0,-0.0,0.0
2036,161430367.95973435,-738909397.3130629,2315328825.4397416,143625743.89910242,101540420.99732204,0.0
2037,3.169426301254378e-08,-1655354860.7478714,1180187480.5483174,126618103.00313425,96219567.93812215,0.0
2038,3.107660732173825e-08,-1812863983.5949278,843416494.5374144,101421348.27201699,82215818.10047707,0.0
2039,3.045895163093273e-08,-1877784868.636937,645179301.6713376,77586194.12050632,68781253.60551023,0.0
2040,2.9841295940127196e-08,-1942705753.6789467,446942108.80526143,53751039.968995705,55346689.11054337,0.0
2041,1.3289363538139786e-07,-1961748722.7974203,431814082.39289886,51932431.46618733,53532418.679693475,1.7093353332126188e-07
2042,0.0,-1980791691.915893,416686055.9805368,50113822.96337898,51718148.248843595,0.0
2043,0.0,-1999834661.034367,401558029.56817406,48295214.46057058,49903877.81799369,0.0
2044,0.0,-2018877630.1528397,386430003.15581185,46476605.95776223,48089607.38714379,0.0
2045,0.0,-2037920599.271313,371301976.74344933,44657997.45495385,46275336.956293866,4.881604970374611e-07
2046,0.0,-2056963568.389787,356173950.3310869,42839388.95214548,44461066.52544398,0.0
2047,0.0,-2076006537.5082593,341045923.91872454,41020780.4493371,42646796.09459408,2.5579729204057285e-07
2048,0.0,-2095049506.6267154,325917897.50635934,39202171.94652839,40832525.66374414,2.1531062258684393e-07
2049,0.0,-2114092475.7452059,310789871.09400004,37383563.4437204,39018255.23289429,0.0
2050,0.0,-2133135444.86368,295661844.68163764,35564954.94091202,37203984.80204439,0.0
