year,installation_related,operation_related
2025,0.0,992653160.7676616
2026,0.0,992653160.7676616
2027,0.0,992653160.7676617
2028,0.0,992653160.7676616
2029,0.0,992653160.7676613
2030,382126303.9347798,992653160.7676616
2031,0.0,992653160.7676616
2032,0.0,992653160.7676617
2033,0.0,992653160.7676616
2034,0.0,992653160.7676616
2035,0.0,992653160.7676616
2036,21681794862.840076,2997016921.1811585
2037,2747840032.052769,3251039755.2916083
2038,0.0,3251039755.2916083
2039,0.0,3251039755.2916083
2040,0.0,3251039755.2916083
2041,1.1894622950056673e-07,3251039755.2916083
2042,0.0,3251039755.291609
2043,0.0,3251039755.2916074
2044,5.395528338459493e-08,3251039755.2916083
2045,1.825663478489282e-07,3251039755.2916102
2046,0.0,3251039755.2916074
2047,5.148898956230791e-08,3251039755.2916083
2048,0.0,3251039755.291581
2049,0.0,3251039755.2916083
2050,0.0,3251039755.2916083
