year,steam_cracking,mto,eco2r
2025,1000000000.0,0.0,0.0
2026,1000000000.0,0.0,0.0
2027,1000000000.0,0.0,0.0
2028,1000000000.0,0.0,0.0
2029,1000000000.0,0.0,0.0
2030,1000000000.0,0.0,0.0
2031,1000000000.0,0.0,0.0
2032,1000000000.0,0.0,0.0
2033,1000000000.0,0.0,0.0
2034,1000000000.0,0.0,0.0
2035,1000000000.0,0.0,0.0
2036,112479783.01252557,887520216.9874744,0.0
2037,0.0,1000000000.0,0.0
2038,0.0,1000000000.0,0.0
2039,0.0,1000000000.0,0.0
2040,0.0,1000000000.0,0.0
2041,0.0,999999999.9999999,0.0
2042,0.0,1000000000.0,0.0
2043,0.0,1000000000.0,0.0
2044,0.0,1000000000.0,0.0
2045,0.0,999999999.9999999,0.0
2046,0.0,1000000000.0,0.0
2047,0.0,999999999.9999996,0.0
2048,0.0,999999999.9999987,0.0
2049,0.0,1000000000.0,0.0
2050,0.0,1000000000.0,0.0
